# equation of state: murnaghan.        chisq =   0.1534D-11
# V0 =  277.57 a.u.^3,  k0 = 2359 kbar,  dk0 =  3.77  d2k0 =  0.000  emin =  -49.70781
# V0 =   41.13  Ang^3,  k0 = 236.0 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  268.47     -49.70528     -49.70528     0.00000       8.39      -49.55221
  270.22     -49.70618     -49.70618    -0.00000       6.67      -49.58368
  271.98     -49.70687     -49.70687     0.00000       5.00      -49.61451
  273.74     -49.70737     -49.70737    -0.00000       3.37      -49.64473
  275.52     -49.70769     -49.70768    -0.00000       1.78      -49.67436
  277.30     -49.70781     -49.70781    -0.00000       0.23      -49.70339
  279.09     -49.70774     -49.70774    -0.00000      -1.27      -49.73185
  280.88     -49.70749     -49.70750     0.00000      -2.74      -49.75974
  282.69     -49.70707     -49.70707     0.00000      -4.16      -49.78709
  284.50     -49.70648     -49.70647    -0.00000      -5.55      -49.81390
  286.32     -49.70570     -49.70570    -0.00000      -6.91      -49.84018
  288.15     -49.70476     -49.70476     0.00000      -8.23      -49.86595
